Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
S.Pellegrino,S.Pellegrino is a water brand owned by Nestle.,"The owner of the S.Pellegrino brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy S.Pellegrino products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.nestle.com/sites/default/files/styles/thumbnail/public/asset-library/publishingimages/brands/bottled-water/spellegrino-logo-round.png
Schweppes,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Schweppes, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Schweppes. Don't sell Schweppes. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/schweppes-logo.png
SodaStream,Israel-based consumer home carbonation brand.,"SodaStream is an Israeli company which manufactured its products in Occupied Palestine. Now owned by Pepsico after a $3.2b acquisition. It since moved its factory from the West Bank to main Israel, however is still subject to boycott for its firing of 60 Palestinian workers and dark history.",https://bdsmovement.net/news/%E2%80%9Csodastream-still-subject-boycott%E2%80%9D,Dont buy Sodastream devices. Don't sell Sodastream devices.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye). Barr Drinks (owner of Irn Bru).",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/092012/soda_stream.png
Sprite,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Appletiser, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Appletiser. Don't sell Appletiser. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/sprite-logo.png
Starbucks,International coffee house chain,Howard Shultz is the largest private owner of Starbucks shares and is a staunch zionist who invests heavily in Israels economy including a recent $1.7 Billion investment in cybersecurity startup Wiz.,https://fortune.com/2021/04/07/wiz-howard-schultz-investment-fundraising-cybersecurity-startups-starbucks-ceo/,Dont buy Starbucks. Dont sell Starbucks On the Go. Don't work for Starbucks.,Caffe Nero.,https://www.tailorbrands.com/wp-content/uploads/2020/11/starbucks-logo-2011.jpg
Taco Bell,International fast food chain,Parent company Yum Brands is an investor in Israeli start ups.,"https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html",Dont eat food from Taco Bell restaurants. Dont work in Taco Bell restaurants.,Eat at local family owned businesses.,https://www.hatchwise.com/wp-content/uploads/2023/01/image-25.png
Tesco,British multinational groceries and general merchandise retailer,"Tesco is partnering with an Israeli start, Trigo Retail, up to deliver till-less stores with several already open in London. Michael Gabay, the CEO of Trigo is a staunch zionist.",https://www.businesswire.com/news/home/20211018005203/en/Trigo-Powers-Fully-Autonomous-Tesco-Grocery-Store-in-Central-London,"Dont buy Tesco products, especially from their GetGo stores. Pressure Tesco to drop their partnership with Trigo, and to choose a local partner instead.",Asda. Co-op. Aldi. Lidl.,https://assets.website-files.com/622733c59bf20d8a074764f6/622733c59bf20dbdf4476887_Tesco.png
Tim Hortons,International coffee and donut chain,"Tim Hortons is the sister company of Burger King, which supports IDF by providing free food and drinks to Israeli militants. See their instagram post (click translate) for reference.",https://www.instagram.com/p/CyORRWHIqeH/,Dont buy food or coffee at Tim Hortons. Don't work for Tim Hortons.,Caffe Nero.,https://fiu-original.b-cdn.net/fontsinuse.com/use-images/168/168197/168197.png?filename=Tim_Hortons_Maple_Leaf.png
Tropicana,Juice brand owned by PepsiCo,"The owner of Tropicana, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Tropicana products. Don't sell Tropicana products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl.",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0017/4978/brand.gif
Unilever,"Nutrition, healthcare and personal care product manufacturer and distributer.","Ben & Jerry's is owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Unilever products. Don't sell Unilever products.,"Supermarket own brand products. Eg. Aldi, Lidl.","https://cdn.sanity.io/images/92ui5egz/production/7c1c60e9afaaaa3cce61e5101717796d21b7f914-1426x1080.svg?rect=0,141,1426,799&w=150&h=84&fit=crop&auto=format"
Vittel,Vittel is a water brand owned by Nestle.,"The owner of the Vittel brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Vittel products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.nestle.com/sites/default/files/styles/thumbnail/public/vittel-logo-round.png
Walmart,"American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores.","Walmart was quick to pledge $1m to Israeli victims and condemned Hamas, however did not donate anything towards charities operating in Gaza for the victims of Israel's genocide.",https://www.jpost.com/business-and-innovation/article-770698,Dont shop at Walmart. Don't work for Walmart.,Local small supermarkets.,https://media.designrush.com/inspiration_images/345908/conversions/walmart_1-preview.jpg
Yum Foods,International fast food franchise owner,Yum Brands is an investor in Israeli start ups.,"https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html",Dont eat food from Yum Brands restaurants. Dont work in Yum Brands restaurants.,Eat at local family owned businesses.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Yum%21_Brands_logo.svg/1200px-Yum%21_Brands_logo.svg.png
